Annie's life Journey,Location,longitude,latitude
hometown,beijing,116.3742023397466,39.96701574681737
highschool,reading,-75.94638204232841,40.323761538999236
undergrad,lancaster,-76.32206059180172,40.04770752572085
studyabroad,oxford,-1.2693256716603685,51.75700313165299
graduate,chicago,-87.60072255622313,41.787964930483525
