Pleiades Name, Custom Name, English Name, Greek Name, Latin Name, Type, Time Period, Pleiades ID, Map Number
"Sparta","","Sparta","Λακεδαίμων","Sparta","settlement, temple, theatre","MACHR","570685",""
"Athenae","","Athens","Ἀθῆναι","Athenae","theatre, plaza, cemetery, stoa, settlement, temple","ACHRRLEMLM","579885",""
